restart,score,plaintext
298,-215.15842251088048,AWFUNXASQHVRZXMSXFYVSCBUFJJHAFA
299,-215.15842251088048,OSARMLOVWFBIGLYVLATBVPCRAEEFOAO
300,-151.11947865596866,EORIWJELDHAPVJNLJRFALBCIRTTHERE
301,-195.15842251088048,DNRHXIDVJCOPBIMVIRKOVGTHREECDRD
302,-215.15842251088048,JMIPZOJBRLHDVOKBOIYHBWXPIGGLJIJ
303,-183.31233293052253,KDIBCWKOPYHSVWROWITHOQUBIXXYKIK
304,-195.15842251088048,FPRHYLFGZJKISLNGLRQKGOTHREEJFRF
305,-151.11947865596866,EPRMLIEAUHVKXIGAIRCVAFJMRTTHERE
306,-215.15842251088048,ZOLVKSZARFDHQSXASLJDAUPVLIIFZLZ
307,-151.11947865596866,EWRQJUEYCHLMXUVYURDLYOZQRTTHERE
308,-215.15842251088048,AUMJWVAXYRINPVQXVMZIXFEJMOORAMA
309,-208.05796925088183,JWXGBUJICVTELUFIUXZTIONGXPPVJXJ
310,-188.1736702327651,EBRPKYEXDHOUWYQXYRIOXMFPRSSHERE
311,-215.15842251088048,SWYNTKSEAJVLHKCEKYFVEUDNYXXJSYS
312,-183.3123329305225,UOWSRKUHADTLVKYHKWITHGMSWFFDUWU
313,-215.15842251088048,UXCWJSUETABLVSMESCDBEGQWCZZAUCU
314,-215.15842251088048,MXOGNRMYLIJCPRHYROVJYAWGOZZIMOM
315,-215.15842251088048,UVYJDFULCMEATFOLFYXELSNJYZZMUYU
316,-208.05796925088185,JTIONAJXUDMYWARXAIBMXCSOILLDJIJ
317,-151.11947865596866,EFRDACENMHUKPCQNCRGUNISDRTTHERE
318,-176.2581413537261,HOGWITHERVNZKTFETGCNEAXWGPPVHGH
319,-208.10423093408406,QIYLMFQDJTHERFZDFYKHDOSLYVVTQYQ
320,-188.1736702327651,EARGMBEKFHIZQBUKBRLIKPVGRWWHERE
321,-215.15842251088048,YREGWJYQCZNISJXQJEMNQDUGEKKZYEY
322,-208.05796925088183,OFNBMVOKAIJXSVQKVNHJKRYBNTTIONO
323,-188.1736702327651,EVRNDBEIAHFUMBOIBRKFIWZNRPPHERE
324,-183.31233293052253,WOFVLJWITHAYXJGIJFZAIPSVFDDHWFW
325,-215.15842251088048,EGAIWLEPRZBYTLCPLAXBPSQIAOOZEAE
326,-215.15842251088048,BNHSQDBVZLKWEDPVDHAKVGCSHUULBHB
327,-215.15842251088048,YFJNDCYABPQGHCTACJVQAZLNJRRPYJY
328,-215.15842251088048,BXIVRJBTUCADKJSTJIPATQLVIZZCBIB
329,-183.3123329305225,RLWXFZRHUQTMAZVHZWITHKPXWSSQRWR
330,-208.05796925088183,AGSVXUAIEKTPYUWIUSDTIONVSQQKASA
331,-188.1736702327651,EBRIPVEJAHQGWVMJVRXQJFOIRNNHERE
332,-188.1736702327651,EGRJSKEUWHFINKMUKRYFUQDJRAAHERE
333,-183.3123329305225,GKBMLJGTZPIONJCTJBWITHUMBRRPGBG
334,-208.10423093408406,CKDPSHCRJGNZTHERHDUNRFQPDIIGCDC
